Sepal_Length,Sepal_Width,Petal_Length,Petal_Width,Species,sostiapantisi,apantisi,time
5.1,3.5,1.4,0.2,experts,1550,1000,117
4.9,3,1.4,0.2,experts,1550,1000,28
4.7,3.2,1.3,0.2,experts,1550,2000,43
4.6,3.1,1.5,0.2,experts,1550,2000,77
5,3.6,1.4,0.2,experts,1550,2000,57
5.4,3.9,1.7,0.4,experts,1550,2000,48
4.6,3.4,1.4,0.3,experts,1550,2000,27
5,3.4,1.5,0.2,experts,1550,1100,53
4.4,2.9,1.4,0.2,experts,1550,1200,166
4.9,3.1,1.5,0.1,experts,1550,1200,126
5.4,3.7,1.5,0.2,experts,1550,1800,45
4.8,3.4,1.6,0.2,experts,1550,1400,50
4.8,3,1.4,0.1,experts,1550,1500,184
4.3,3,1.1,0.1,experts,1550,1500,55
5.8,4,1.2,0.2,experts,1550,1500,119
5.7,4.4,1.5,0.4,experts,1550,1500,24
5.4,3.9,1.3,0.4,experts,1550,1500,92
5.1,3.5,1.4,0.3,experts,1550,1500,302
5.7,3.8,1.7,0.3,experts,1550,1500,20
5.1,3.8,1.5,0.3,experts,1550,1500,56
5.4,3.4,1.7,0.2,non-experts,1550,12050,23
5.1,3.7,1.5,0.4,non-experts,1550,0,18
4.6,3.6,1,0.2,non-experts,1550,0,64
5.1,3.3,1.7,0.5,non-experts,1550,0,26
4.8,3.4,1.9,0.2,non-experts,1550,0,51
5,3,1.6,0.2,non-experts,1550,500,69
5,3.4,1.6,0.4,non-experts,1550,1000,38
5.2,3.5,1.5,0.2,non-experts,1550,1000,47
5.2,3.4,1.4,0.2,non-experts,1550,1000,74
4.7,3.2,1.6,0.2,non-experts,1550,2000,39
4.8,3.1,1.6,0.2,non-experts,1550,2000,42
5.4,3.4,1.5,0.4,non-experts,1550,2000,25
5.2,4.1,1.5,0.1,non-experts,1550,1800,55
5.5,4.2,1.4,0.2,non-experts,1550,1700,68
4.9,3.1,1.5,0.2,non-experts,1550,1500,55
5,3.2,1.2,0.2,non-experts,1550,1500,62
5.5,3.5,1.3,0.2,non-experts,1550,1500,45
4.9,3.6,1.4,0.1,non-experts,1550,1500,43
4.4,3,1.3,0.2,non-experts,1550,1500,51
5.1,3.4,1.5,0.2,non-experts,1550,1500,20
