Sepal_Length,Sepal_Width,Petal_Length,Petal_Width,Species,sostiapantisi,apantisi,time,correctscore,scale1
5.1,3.5,1.4,0.2,experts,1550,6,1684,6.00,0.75
4.9,3,1.4,0.2,experts,1550,8,265,8.00,1.00
4.7,3.2,1.3,0.2,experts,1550,4,935,3.50,0.44
4.6,3.1,1.5,0.2,experts,1550,6,771,5.92,0.74
5,3.6,1.4,0.2,experts,1550,6,489,5.67,0.71
5.4,3.9,1.7,0.4,experts,1550,8,838,7.92,0.99
4.6,3.4,1.4,0.3,experts,1550,3,464,2.75,0.34
5,3.4,1.5,0.2,experts,1550,8,571,8.00,1.00
4.4,2.9,1.4,0.2,experts,1550,4,465,3.75,0.47
4.9,3.1,1.5,0.1,experts,1550,5,639,4.67,0.58
5.4,3.7,1.5,0.2,experts,1550,7,543,7.00,0.88
4.8,3.4,1.6,0.2,experts,1550,6,655,5.75,0.72
4.8,3,1.4,0.1,experts,1550,8,816,7.75,0.97
4.3,3,1.1,0.1,experts,1550,7,655,7.00,0.88
5.8,4,1.2,0.2,experts,1550,7,771,6.92,0.86
5.7,4.4,1.5,0.4,experts,1550,8,472,7.50,0.94
5.4,3.9,1.3,0.4,experts,1550,7,1052,7.00,0.88
5.1,3.5,1.4,0.3,experts,1550,8,828,8.00,1.00
5.7,3.8,1.7,0.3,experts,1550,6,799,5.67,0.71
5.1,3.8,1.5,0.3,experts,1550,8,232,8.00,1.00
5.4,3.4,1.7,0.2,non-experts,1550,4,405,3.75,0.47
5.1,3.7,1.5,0.4,non-experts,1550,1,334,1.00,0.13
4.6,3.6,1,0.2,non-experts,1550,1,2077,1.25,0.16
5.1,3.3,1.7,0.5,non-experts,1550,1,583,0.83,0.10
4.8,3.4,1.9,0.2,non-experts,1550,8,710,7.75,0.97
5,3,1.6,0.2,non-experts,1550,6,440,5.50,0.69
5,3.4,1.6,0.4,non-experts,1550,3,446,3.00,0.38
5.2,3.5,1.5,0.2,non-experts,1550,7,1023,7.00,0.88
5.2,3.4,1.4,0.2,non-experts,1550,8,766,8.00,1.00
4.7,3.2,1.6,0.2,non-experts,1550,8,755,8.00,1.00
4.8,3.1,1.6,0.2,non-experts,1550,8,402,7.75,0.97
5.4,3.4,1.5,0.4,non-experts,1550,8,375,7.50,0.94
5.2,4.1,1.5,0.1,non-experts,1550,8,714,8.00,1.00
5.5,4.2,1.4,0.2,non-experts,1550,7,664,7.00,0.88
4.9,3.1,1.5,0.2,non-experts,1550,8,749,8.00,1.00
5,3.2,1.2,0.2,non-experts,1550,6,1193,6.00,0.75
5.5,3.5,1.3,0.2,non-experts,1550,8,697,7.75,0.97
4.9,3.6,1.4,0.1,non-experts,1550,7,490,7.00,0.88
4.4,3,1.3,0.2,non-experts,1550,8,325,7.75,0.97
5.1,3.4,1.5,0.2,non-experts,1550,8,291,8.00,1.00
