Sepal_Length,Sepal_Width,Petal_Length,Petal_Width,Species,sostiapantisi,apantisi,time,correctscore,scale1
5.1,3.5,1.4,0.2,experts,1550,5,715,5.09,0.85
4.9,3,1.4,0.2,experts,1550,5,233,4.98,0.83
4.7,3.2,1.3,0.2,experts,1550,5,814,5.11,0.85
4.6,3.1,1.5,0.2,experts,1550,4,490,4.44,0.74
5,3.6,1.4,0.2,experts,1550,5,356,4.63,0.77
5.4,3.9,1.7,0.4,experts,1550,5,638,5.08,0.85
4.6,3.4,1.4,0.3,experts,1550,5,341,5.08,0.85
5,3.4,1.5,0.2,experts,1550,6,538,5.60,0.93
4.4,2.9,1.4,0.2,experts,1550,5,678,5.14,0.86
4.9,3.1,1.5,0.1,experts,1550,5,596,5.39,0.90
5.4,3.7,1.5,0.2,experts,1550,5,453,5.32,0.89
4.8,3.4,1.6,0.2,experts,1550,6,724,5.83,0.97
4.8,3,1.4,0.1,experts,1550,6,881,5.89,0.98
4.3,3,1.1,0.1,experts,1550,6,489,5.89,0.98
5.8,4,1.2,0.2,experts,1550,5,663,5.45,0.91
5.7,4.4,1.5,0.4,experts,1550,6,430,5.78,0.96
5.4,3.9,1.3,0.4,experts,1550,5,543,4.62,0.77
5.1,3.5,1.4,0.3,experts,1550,5,749,4.97,0.83
5.7,3.8,1.7,0.3,experts,1550,5,376,5.45,0.91
5.1,3.8,1.5,0.3,experts,1550,5,224,5.30,0.88
5.4,3.4,1.7,0.2,non-experts,1550,4,897,3.62,0.60
5.1,3.7,1.5,0.4,non-experts,1550,4,414,4.48,0.75
4.6,3.6,1,0.2,non-experts,1550,2,1036,2.03,0.34
5.1,3.3,1.7,0.5,non-experts,1550,3,784,3.26,0.54
4.8,3.4,1.9,0.2,non-experts,1550,5,890,4.81,0.80
5,3,1.6,0.2,non-experts,1550,4,498,4.02,0.67
5,3.4,1.6,0.4,non-experts,1550,5,658,4.90,0.82
5.2,3.5,1.5,0.2,non-experts,1550,5,433,5.12,0.85
5.2,3.4,1.4,0.2,non-experts,1550,5,427,4.90,0.82
4.7,3.2,1.6,0.2,non-experts,1550,5,396,5.29,0.88
4.8,3.1,1.6,0.2,non-experts,1550,5,393,4.97,0.83
5.4,3.4,1.5,0.4,non-experts,1550,5,364,4.97,0.83
5.2,4.1,1.5,0.1,non-experts,1550,5,565,5.43,0.90
5.5,4.2,1.4,0.2,non-experts,1550,6,536,5.90,0.98
4.9,3.1,1.5,0.2,non-experts,1550,6,709,5.89,0.98
5,3.2,1.2,0.2,non-experts,1550,5,824,5.34,0.89
5.5,3.5,1.3,0.2,non-experts,1550,6,581,5.70,0.95
4.9,3.6,1.4,0.1,non-experts,1550,5,459,5.37,0.89
4.4,3,1.3,0.2,non-experts,1550,5,315,5.30,0.88
5.1,3.4,1.5,0.2,non-experts,1550,6,363,5.89,0.98

