Sepal_Length;Sepal_Width;Petal_Length;Petal_Width;Species;sostiapantisi;apantisi;time;;
0.85;3.5;1.4;0.2;experts;1550;5;715;;
0.83;3;1.4;0.2;experts;1550;5;233;;
0.85;3.2;1.3;0.2;experts;1550;5;814;;
0.74;3.1;1.5;0.2;experts;1550;4;490;;
0.77;3.6;1.4;0.2;experts;1550;5;356;;
0.85;3.9;1.7;0.4;experts;1550;5;638;;
0.93;3.4;1.4;0.3;experts;1550;5;341;;
0.86;3.4;1.5;0.2;experts;1550;6;538;;
0.90;2.9;1.4;0.2;experts;1550;5;678;;
0.89;3.1;1.5;0.1;experts;1550;5;596;;
0.97;3.7;1.5;0.2;experts;1550;5;453;;
0.98;3.4;1.6;0.2;experts;1550;6;724;;
0.98;3;1.4;0.1;experts;1550;6;881;;
0.91;3;1.1;0.1;experts;1550;6;489;;
0.96;4;1.2;0.2;experts;1550;5;663;;
0.77;4.4;1.5;0.4;experts;1550;6;430;;
0.83;3.9;1.3;0.4;experts;1550;5;543;;
0.85;3.5;1.4;0.3;experts;1550;5;749;;
0.91;3.8;1.7;0.3;experts;1550;5;376;;
0.88;3.8;1.5;0.3;experts;1550;5;224;;
0.60;3.4;1.7;0.2;non-experts;1550;4;897;;
0.75;3.7;1.5;0.4;non-experts;1550;4;414;;
0.34;3.6;1;0.2;non-experts;1550;2;1036;;
0.54;3.3;1.7;0.5;non-experts;1550;3;784;;
0.80;3.4;1.9;0.2;non-experts;1550;5;890;;
0.67;3;1.6;0.2;non-experts;1550;4;498;;
0.82;3.4;1.6;0.4;non-experts;1550;5;658;;
0.85;3.5;1.5;0.2;non-experts;1550;5;433;;
0.82;3.4;1.4;0.2;non-experts;1550;5;427;;
0.88;3.2;1.6;0.2;non-experts;1550;5;396;;
0.83;3.1;1.6;0.2;non-experts;1550;5;393;;
0.83;3.4;1.5;0.4;non-experts;1550;5;364;;
0.90;4.1;1.5;0.1;non-experts;1550;5;565;;
0.98;4.2;1.4;0.2;non-experts;1550;6;536;;
0.98;3.1;1.5;0.2;non-experts;1550;6;709;;
0.89;3.2;1.2;0.2;non-experts;1550;5;824;;
0.95;3.5;1.3;0.2;non-experts;1550;6;581;;
0.89;3.6;1.4;0.1;non-experts;1550;5;459;;
0.88;3;1.3;0.2;non-experts;1550;5;315;;
0.98;3.4;1.5;0.2;non-experts;1550;6;363;;
