type,value2,value
variable 1,2.85,715
variable 1,2.37,233
variable 1,2.91,814
variable 1,2.69,490
variable 1,2.55,356
variable 1,2.80,638
variable 1,2.53,341
variable 1,2.73,538
variable 1,2.83,678
variable 1,2.78,596
variable 1,2.66,453
variable 1,2.86,724
variable 1,2.94,881
variable 1,2.69,489
variable 1,2.82,663
variable 1,2.63,430
variable 1,2.73,543
variable 1,2.87,749
variable 1,2.58,376
variable 1,2.35,224
variable 2,2.95,897
variable 2,2.62,414
variable 2,3.02,1036
variable 2,2.89,784
variable 2,2.95,890
variable 2,2.70,498
variable 2,2.82,658
variable 2,2.64,433
variable 2,2.63,427
variable 2,2.60,396
variable 2,2.59,393
variable 2,2.56,364
variable 2,2.75,565
variable 2,2.73,536
variable 2,2.85,709
variable 2,2.92,824
variable 2,2.76,581
variable 2,2.66,459
variable 2,2.50,315
variable 2,2.56,363
